payload_bytes,packet_bytes,block_size,bits_per_token,overhead,image_copies,attack,binning,position_mode,margin,geometry_search,crop_offsets,anchor_count,anchor_scope,token_block_size,block_anchor_threshold,source_symbols,encoded_symbols,used_token_slots,raw_capacity_bits,recovered_symbols,exact_symbols,crc_valid_symbols,crc_rejected_symbols,anchor_matches,anchor_total,anchor_match_rate,accepted_blocks,total_blocks,block_acceptance_rate,erased_token_slots,token_match_rate,value_match_rate,exact_recovery,failure,capacity_exhausted,selected_crop_ratio,selected_row_offset,selected_col_offset
32,44,1,1,4.0,16,crop090_r02_c-02,projection,center,2,anchors2d,-0.02 0.0 0.02,1,block,4,0.0,44,220,1760,1760,220,87,87,133,129,144,0.895833,144,144,1.0,0,0.077148,0.888636,True,,False,0.9,0.02,-0.02
32,44,1,1,4.0,24,crop090_r02_c-02,projection,center,2,anchors2d,-0.02 0.0 0.02,1,block,4,0.0,44,220,1760,1760,220,87,87,133,196,216,0.907407,216,216,1.0,0,0.080078,0.888636,True,,False,0.9,0.02,-0.02
64,76,1,1,4.0,16,crop090_r02_c-02,projection,center,2,anchors2d,-0.02 0.0 0.02,1,block,4,0.0,76,380,2160,2160,270,99,99,171,129,144,0.895833,144,144,1.0,0,0.071045,0.880556,True,,True,0.9,0.02,-0.02
64,76,1,1,4.0,24,crop090_r02_c-02,projection,center,2,anchors2d,-0.02 0.0 0.02,1,block,4,0.0,76,380,3040,3040,380,135,135,245,193,216,0.893519,216,216,1.0,0,0.073405,0.874671,True,,False,0.92,0.02,-0.02
