attack,recovered_symbols,exact_symbols,crc_valid_symbols,crc_rejected_symbols,dropped_images,erased_symbols,token_match_rate,value_match_rate,exact_recovery,failure,model_dir,payload_bytes,packet_bytes,bits_per_token,block_size,overhead,latent_side,macro_cell_size,macro_cells_per_image,symbols_per_image,source_symbols,encoded_symbols,image_count,calibration_count,calibration_threshold,calibration_seed,payload_seed,stable_pool_0,stable_pool_1,sample_image
clean,112,108,108,4,0,0,0.000209,0.995536,True,,05_artifacts\models\vqgan_f4_8192_diffusers_converted,16,28,1,1,3.0,32,4,64,8,28,112,14,256,0.9,real-vqgan-calibration-v1-latent32,real-vqgan-128-test-a,41,28,05_artifacts\results\raw\vq_fountain_real_vqgan_payload_sample_128px.png
crop090+jpeg85+drop25,72,49,49,23,5,40,0.000217,0.946181,True,,05_artifacts\models\vqgan_f4_8192_diffusers_converted,16,28,1,1,3.0,32,4,64,8,28,112,14,256,0.9,real-vqgan-calibration-v1-latent32,real-vqgan-128-test-a,41,28,05_artifacts\results\raw\vq_fountain_real_vqgan_payload_sample_128px.png
