payload_bytes,packet_bytes,block_size,bits_per_token,overhead,image_copies,attack,binning,source_symbols,encoded_symbols,used_token_slots,raw_capacity_bits,recovered_symbols,exact_symbols,token_match_rate,value_match_rate,exact_recovery,failure,capacity_exhausted
64,76,4,1,0.8,16,noise002,projection,19,35,1120,1120,35,35,1.0,1.0,True,,False
64,76,4,1,0.8,16,crop090,projection,19,35,1120,1120,35,0,0.079102,0.6625,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,1,1.2,2,clean,projection,19,42,512,512,16,16,1.0,1.0,False,decoder stopped with 3 missing source blocks,True
64,76,4,1,1.2,2,jpeg85,projection,19,42,512,512,16,16,1.0,1.0,False,decoder stopped with 3 missing source blocks,True
64,76,4,1,1.2,2,resize075,projection,19,42,512,512,16,16,0.957031,1.0,False,decoder stopped with 3 missing source blocks,True
64,76,4,1,1.2,2,blur1,projection,19,42,512,512,16,16,0.886719,1.0,False,decoder stopped with 3 missing source blocks,True
64,76,4,1,1.2,2,noise002,projection,19,42,512,512,16,16,1.0,1.0,False,decoder stopped with 3 missing source blocks,True
64,76,4,1,1.2,2,crop090,projection,19,42,512,512,16,0,0.083984,0.673828,False,decoder stopped with 3 missing source blocks,True
64,76,4,1,1.2,4,clean,projection,19,42,1024,1024,32,32,1.0,1.0,True,,True
64,76,4,1,1.2,4,jpeg85,projection,19,42,1024,1024,32,32,1.0,1.0,True,,True
64,76,4,1,1.2,4,resize075,projection,19,42,1024,1024,32,32,0.960938,1.0,True,,True
64,76,4,1,1.2,4,blur1,projection,19,42,1024,1024,32,32,0.884766,1.0,True,,True
64,76,4,1,1.2,4,noise002,projection,19,42,1024,1024,32,32,1.0,1.0,True,,True
64,76,4,1,1.2,4,crop090,projection,19,42,1024,1024,32,0,0.082031,0.664062,False,inconsistent equations; symbol data may be corrupted,True
64,76,4,1,1.2,8,clean,projection,19,42,1344,1344,42,42,1.0,1.0,True,,False
64,76,4,1,1.2,8,jpeg85,projection,19,42,1344,1344,42,42,1.0,1.0,True,,False
64,76,4,1,1.2,8,resize075,projection,19,42,1344,1344,42,42,0.95459,1.0,True,,False
64,76,4,1,1.2,8,blur1,projection,19,42,1344,1344,42,42,0.871094,1.0,True,,False
64,76,4,1,1.2,8,noise002,projection,19,42,1344,1344,42,42,1.0,1.0,True,,False
64,76,4,1,1.2,8,crop090,projection,19,42,1344,1344,42,0,0.081055,0.665179,False,inconsistent equations; symbol data may be corrupted,False
64,76,4,1,1.2,12,clean,projection,19,42,1344,1344,42,42,1.0,1.0,True,,False
64,76,4,1,1.2,12,jpeg85,projection,19,42,1344,1344,42,42,1.0,1.0,True,,False
64,76,4,1,1.2,12,resize075,projection,19,42,1344,1344,42,42,0.958008,1.0,True,,False
64,76,4,1,1.2,12,blur1,projection,19,42,1344,1344,42,42,0.875977,1.0,True,,False
