image,trial,payload_bpp,useful_bits,useful_ber,full_ber,psnr_db,global_ssim
05_artifacts\data\sample_images\000000001503.jpg,0,0.25,65536,0.0007781982421875,0.12096405029296875,37.48003653541272,0.9984284603196354
05_artifacts\data\sample_images\000000001503.jpg,1,0.25,65536,0.0008697509765625,0.12125396728515625,37.474097796786,0.9984263887082595
05_artifacts\data\sample_images\000000001503.jpg,2,0.25,65536,0.00079345703125,0.12114524841308594,37.46096841341084,0.9984206546073833
05_artifacts\data\sample_images\000000001503.jpg,3,0.25,65536,0.0008544921875,0.12102508544921875,37.46778269915303,0.9984236066361503
05_artifacts\data\sample_images\000000001503.jpg,4,0.25,65536,0.0008087158203125,0.12089347839355469,37.45247052426845,0.9984170755089791
05_artifacts\data\sample_images\dog_0031.jpg,0,0.25,65536,0.0005340576171875,0.10070419311523438,37.935179888382585,0.9986688484854734
05_artifacts\data\sample_images\dog_0031.jpg,1,0.25,65536,0.0004425048828125,0.10070419311523438,37.9538637278782,0.9986755851489761
05_artifacts\data\sample_images\dog_0031.jpg,2,0.25,65536,0.000457763671875,0.10039520263671875,37.95714523482205,0.9986768630368065
05_artifacts\data\sample_images\dog_0031.jpg,3,0.25,65536,0.000579833984375,0.10045051574707031,37.953046786417495,0.9986751371263672
05_artifacts\data\sample_images\dog_0031.jpg,4,0.25,65536,0.0003509521484375,0.10037803649902344,37.95447825818897,0.9986758064316084
