image,trial,payload_bpp,useful_bits,useful_ber,full_ber,psnr_db,global_ssim
<COCO_VAL2017_DIR>\000000000139.jpg,0,0.25,65536,0.0181732177734375,0.20044326782226562,37.65828960347762,0.9983660918974466
<COCO_VAL2017_DIR>\000000000285.jpg,0,0.25,65536,0.034820556640625,0.32080078125,36.2252771842873,0.9988037603311861
<COCO_VAL2017_DIR>\000000000632.jpg,0,0.25,65536,0.0570526123046875,0.27143287658691406,35.793352213692195,0.9962765826154762
<COCO_VAL2017_DIR>\000000000724.jpg,0,0.25,65536,0.00543212890625,0.1362762451171875,37.11521606332255,0.9985573576178772
<COCO_VAL2017_DIR>\000000000776.jpg,0,0.25,65536,0.05914306640625,0.29640769958496094,36.19226831003472,0.9970531458322963
<COCO_VAL2017_DIR>\000000000785.jpg,0,0.25,65536,0.007781982421875,0.09988784790039062,38.6840248022779,0.9990000037984289
<COCO_VAL2017_DIR>\000000000802.jpg,0,0.25,65536,0.0044403076171875,0.11016082763671875,37.891876563404864,0.9983897218020237
<COCO_VAL2017_DIR>\000000000872.jpg,0,0.25,65536,0.0466461181640625,0.2851676940917969,37.01792819591331,0.9988696213494398
<COCO_VAL2017_DIR>\000000000885.jpg,0,0.25,65536,0.0144500732421875,0.13109207153320312,37.78042157427239,0.998060423540753
<COCO_VAL2017_DIR>\000000001000.jpg,0,0.25,65536,0.1363372802734375,0.3499469757080078,35.89784840269941,0.9982541276257814
<COCO_VAL2017_DIR>\000000001268.jpg,0,0.25,65536,0.036376953125,0.15118408203125,36.89240952263596,0.9989007284214649
<COCO_VAL2017_DIR>\000000001296.jpg,0,0.25,65536,0.0049896240234375,0.09622764587402344,37.97711571516288,0.9990607294549678
<COCO_VAL2017_DIR>\000000001353.jpg,0,0.25,65536,0.002166748046875,0.11231422424316406,37.71805116614996,0.9982643997195759
<COCO_VAL2017_DIR>\000000001425.jpg,0,0.25,65536,7.62939453125e-05,0.06526756286621094,39.067416137666875,0.9993012128288512
<COCO_VAL2017_DIR>\000000001490.jpg,0,0.25,65536,0.0002899169921875,0.11421966552734375,38.228252504442366,0.9983568816647925
<COCO_VAL2017_DIR>\000000001503.jpg,0,0.25,65536,0.00048828125,0.04915618896484375,38.3178855995319,0.9985475299985909
<COCO_VAL2017_DIR>\000000001532.jpg,0,0.25,65536,0.00201416015625,0.2126007080078125,37.40989051163203,0.9987752563573766
<COCO_VAL2017_DIR>\000000001584.jpg,0,0.25,65536,0.0005950927734375,0.16650962829589844,37.50448157328329,0.9987024042155102
<COCO_VAL2017_DIR>\000000001675.jpg,0,0.25,65536,0.0081939697265625,0.17807388305664062,37.85374244452583,0.9992707952242216
<COCO_VAL2017_DIR>\000000001761.jpg,0,0.25,65536,0.0006866455078125,0.08310317993164062,39.021853154119775,0.9987315565944745
