image,trial,payload_bpp,useful_bits,useful_ber,full_ber,psnr_db,global_ssim
05_artifacts\data\sample_images\000000001503.jpg,0,0.25,65536,0.0021209716796875,0.23041725158691406,40.00692539073577,0.9991415610095657
05_artifacts\data\sample_images\000000001503.jpg,1,0.25,65536,0.001953125,0.2303619384765625,40.00461912323259,0.9991411528715788
05_artifacts\data\sample_images\000000001503.jpg,2,0.25,65536,0.0019073486328125,0.23052024841308594,39.9936030285875,0.9991382961693621
05_artifacts\data\sample_images\000000001503.jpg,3,0.25,65536,0.002227783203125,0.23030662536621094,39.99500671875356,0.9991387611584976
05_artifacts\data\sample_images\000000001503.jpg,4,0.25,65536,0.00201416015625,0.23017120361328125,39.984385575567345,0.9991361392273318
05_artifacts\data\sample_images\dog_0031.jpg,0,0.25,65536,0.00244140625,0.20662498474121094,40.23746083100848,0.9992697615918449
05_artifacts\data\sample_images\dog_0031.jpg,1,0.25,65536,0.0021514892578125,0.2066192626953125,40.248563633596845,0.9992722429843272
05_artifacts\data\sample_images\dog_0031.jpg,2,0.25,65536,0.0020294189453125,0.2065277099609375,40.25270053273607,0.9992733241737749
05_artifacts\data\sample_images\dog_0031.jpg,3,0.25,65536,0.002349853515625,0.20641136169433594,40.24578302398786,0.999271723676634
05_artifacts\data\sample_images\dog_0031.jpg,4,0.25,65536,0.0020751953125,0.20621299743652344,40.24921746569781,0.9992725488508123
