image,tokenizer,image_size,patch_size,levels,codebook_size,token_grid,token_count,attacks,stable_positions_all_attacks,stable_position_rate_all_attacks,mean_changed_tokens,mean_token_match_rate
6591.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,212,0.828125,,
224.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,101,0.394531,,
8125.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,125,0.488281,,
257.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,113,0.441406,,
4290.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,97,0.378906,,
5061.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,23,0.089844,,
8403.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,135,0.527344,,
1969.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,119,0.464844,,
8448.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,80,0.3125,,
5947.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,128,0.5,,
8560.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,109,0.425781,,
1003.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,49,0.191406,,
3799.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,11,0.042969,,
2195.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,46,0.179688,,
9285.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,59,0.230469,,
8573.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,112,0.4375,,
247.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,83,0.324219,,
5052.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,40,0.15625,,
3821.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,84,0.328125,,
5296.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,174,0.679688,,
7386.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,26,0.101562,,
7133.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,85,0.332031,,
7493.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,15,0.058594,,
999.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,37,0.144531,,
6516.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,132,0.515625,,
6620.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,6,0.023438,,
4216.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,64,0.25,,
4764.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,86,0.335938,,
7390.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,133,0.519531,,
2088.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,86,0.335938,,
511.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,82,0.320312,,
640.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,165,0.644531,,
9733.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,107,0.417969,,
1142.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,81,0.316406,,
4.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,60,0.234375,,
2768.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,45,0.175781,,
4574.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,143,0.558594,,
3937.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,81,0.316406,,
3550.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,65,0.253906,,
888.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,81,0.316406,,
1318.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,33,0.128906,,
5519.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,63,0.246094,,
1080.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,44,0.171875,,
8442.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,77,0.300781,,
7352.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,153,0.597656,,
6550.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,111,0.433594,,
4881.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,101,0.394531,,
3278.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,31,0.121094,,
1811.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,41,0.160156,,
7007.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,42,0.164062,,
6479.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,100,0.390625,,
4321.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,77,0.300781,,
2687.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,111,0.433594,,
2627.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,79,0.308594,,
2722.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,89,0.347656,,
5531.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,57,0.222656,,
6638.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,148,0.578125,,
7808.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,153,0.597656,,
287.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,64,0.25,,
6208.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,108,0.421875,,
8995.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,51,0.199219,,
7628.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,187,0.730469,,
8252.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,75,0.292969,,
2846.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,113,0.441406,,
8730.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,83,0.324219,,
4480.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,133,0.519531,,
9567.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,92,0.359375,,
8588.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,137,0.535156,,
1575.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,82,0.320312,,
7144.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,153,0.597656,,
5517.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,133,0.519531,,
3953.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,44,0.171875,,
9342.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,48,0.1875,,
4264.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,35,0.136719,,
2635.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,128,0.5,,
5665.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,108,0.421875,,
7031.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,50,0.195312,,
1303.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,29,0.113281,,
5920.pgm,learned-patch-vq,256,16,8,128,16x16,256,clean jpeg85 resize075 blur1 noise002 crop090 crop090_r02_c-02,145,0.566406,,
