attack,recovered_symbols,exact_symbols,crc_valid_symbols,crc_rejected_symbols,dropped_images,erased_symbols,token_match_rate,value_match_rate,exact_recovery,failure,model_dir,payload_bytes,packet_bytes,bits_per_token,block_size,overhead,latent_side,macro_cell_size,macro_cells_per_image,symbols_per_image,source_symbols,encoded_symbols,image_count,calibration_count,calibration_threshold,stable_pool_0,stable_pool_1,sample_image
clean,176,176,176,0,0,0,0.0,1.0,True,,05_artifacts\models\vqgan_f4_8192_diffusers_converted,32,44,1,1,3.0,16,2,64,8,44,176,22,256,0.9,44,26,05_artifacts\results\raw\vq_fountain_real_vqgan_payload_sample_payload32_grouped_overhead3.png
crop090+jpeg85+drop25,120,53,53,67,7,56,0.002083,0.898958,True,,05_artifacts\models\vqgan_f4_8192_diffusers_converted,32,44,1,1,3.0,16,2,64,8,44,176,22,256,0.9,44,26,05_artifacts\results\raw\vq_fountain_real_vqgan_payload_sample_payload32_grouped_overhead3.png
