image,trial,payload_bpp,useful_bits,useful_ber,full_ber,psnr_db,global_ssim
05_artifacts\data\sample_images\000000001503.jpg,0,0.25,65536,0.0007476806640625,0.07262992858886719,36.5806615174155,0.998114146468432
05_artifacts\data\sample_images\000000001503.jpg,1,0.25,65536,0.000946044921875,0.07258224487304688,36.57188837912143,0.9981103950994343
05_artifacts\data\sample_images\000000001503.jpg,2,0.25,65536,0.000732421875,0.07291221618652344,36.56556198650583,0.9981066258682962
05_artifacts\data\sample_images\000000001503.jpg,3,0.25,65536,0.000885009765625,0.07267379760742188,36.5722463086136,0.9981099751399377
05_artifacts\data\sample_images\000000001503.jpg,4,0.25,65536,0.000885009765625,0.07287406921386719,36.55725398644685,0.9981021758219577
05_artifacts\data\sample_images\dog_0031.jpg,0,0.25,65536,0.0006256103515625,0.14888954162597656,37.423189892417135,0.9984366017228
05_artifacts\data\sample_images\dog_0031.jpg,1,0.25,65536,0.0003814697265625,0.14890670776367188,37.441703739122275,0.9984440240815218
05_artifacts\data\sample_images\dog_0031.jpg,2,0.25,65536,0.00042724609375,0.1488494873046875,37.44390908369624,0.9984450465775982
05_artifacts\data\sample_images\dog_0031.jpg,3,0.25,65536,0.0004730224609375,0.14890480041503906,37.44306056041956,0.998444338176107
05_artifacts\data\sample_images\dog_0031.jpg,4,0.25,65536,0.000335693359375,0.14870262145996094,37.447813483745435,0.9984464134693442
