payload_bytes,packet_bytes,block_size,bits_per_token,overhead,image_copies,attack,binning,position_mode,margin,geometry_search,anchor_count,anchor_scope,token_block_size,block_anchor_threshold,source_symbols,encoded_symbols,used_token_slots,raw_capacity_bits,recovered_symbols,exact_symbols,crc_valid_symbols,crc_rejected_symbols,anchor_matches,anchor_total,anchor_match_rate,accepted_blocks,total_blocks,block_acceptance_rate,erased_token_slots,token_match_rate,value_match_rate,exact_recovery,failure,capacity_exhausted,selected_crop_ratio
32,44,1,1,4.0,16,crop090,projection,center,2,anchors,2,block,4,0.5,44,220,1760,1760,220,52,52,168,241,288,0.836806,139,144,0.965278,56,0.080322,0.815341,True,,False,0.88
32,44,1,1,4.0,24,crop090,projection,center,2,anchors,2,block,4,0.5,44,220,1760,1760,220,52,52,168,362,432,0.837963,208,216,0.962963,56,0.080892,0.815341,True,,False,0.88
32,44,1,1,4.0,32,crop090,projection,center,2,anchors,2,block,4,0.5,44,220,1760,1760,220,52,52,168,481,576,0.835069,277,288,0.961806,56,0.081421,0.815341,True,,False,0.88
64,76,1,1,4.0,16,crop090,projection,center,2,anchors,2,block,4,0.5,76,380,2016,2016,252,68,68,184,240,288,0.833333,141,144,0.979167,42,0.079834,0.833829,False,decoder stopped with 8 missing source blocks,True,0.88
64,76,1,1,4.0,24,crop090,projection,center,2,anchors,2,block,4,0.5,76,380,3024,3024,378,103,103,275,362,432,0.837963,213,216,0.986111,42,0.077799,0.829034,True,,True,0.88
64,76,1,1,4.0,32,crop090,projection,center,2,anchors,2,block,4,0.5,76,380,3040,3040,380,103,103,277,480,576,0.833333,282,288,0.979167,42,0.079346,0.828947,True,,False,0.88
