image,trial,attack,payload_bpp,useful_bits,useful_ber
05_artifacts\data\sample_images\000000001503.jpg,0,clean,0.25,65536,0.0110626220703125
05_artifacts\data\sample_images\000000001503.jpg,0,jpeg95,0.25,65536,0.4983367919921875
05_artifacts\data\sample_images\000000001503.jpg,0,jpeg90,0.25,65536,0.4984588623046875
05_artifacts\data\sample_images\000000001503.jpg,0,jpeg80,0.25,65536,0.498443603515625
05_artifacts\data\sample_images\000000001503.jpg,0,noise2,0.25,65536,0.1864776611328125
05_artifacts\data\sample_images\000000001503.jpg,0,blur1,0.25,65536,0.2105712890625
05_artifacts\data\sample_images\000000001503.jpg,0,resize0.75,0.25,65536,0.2298431396484375
05_artifacts\data\sample_images\000000001503.jpg,1,clean,0.25,65536,0.012481689453125
05_artifacts\data\sample_images\000000001503.jpg,1,jpeg95,0.25,65536,0.4937744140625
05_artifacts\data\sample_images\000000001503.jpg,1,jpeg90,0.25,65536,0.5000457763671875
05_artifacts\data\sample_images\000000001503.jpg,1,jpeg80,0.25,65536,0.5002288818359375
05_artifacts\data\sample_images\000000001503.jpg,1,noise2,0.25,65536,0.1845855712890625
05_artifacts\data\sample_images\000000001503.jpg,1,blur1,0.25,65536,0.209228515625
05_artifacts\data\sample_images\000000001503.jpg,1,resize0.75,0.25,65536,0.23126220703125
05_artifacts\data\sample_images\dog_0031.jpg,0,clean,0.25,65536,0.01885986328125
05_artifacts\data\sample_images\dog_0031.jpg,0,jpeg95,0.25,65536,0.4896392822265625
05_artifacts\data\sample_images\dog_0031.jpg,0,jpeg90,0.25,65536,0.4911956787109375
05_artifacts\data\sample_images\dog_0031.jpg,0,jpeg80,0.25,65536,0.4967041015625
05_artifacts\data\sample_images\dog_0031.jpg,0,noise2,0.25,65536,0.188018798828125
05_artifacts\data\sample_images\dog_0031.jpg,0,blur1,0.25,65536,0.2770538330078125
05_artifacts\data\sample_images\dog_0031.jpg,0,resize0.75,0.25,65536,0.2447357177734375
05_artifacts\data\sample_images\dog_0031.jpg,1,clean,0.25,65536,0.0179443359375
05_artifacts\data\sample_images\dog_0031.jpg,1,jpeg95,0.25,65536,0.4924774169921875
05_artifacts\data\sample_images\dog_0031.jpg,1,jpeg90,0.25,65536,0.493988037109375
05_artifacts\data\sample_images\dog_0031.jpg,1,jpeg80,0.25,65536,0.499237060546875
05_artifacts\data\sample_images\dog_0031.jpg,1,noise2,0.25,65536,0.1844329833984375
05_artifacts\data\sample_images\dog_0031.jpg,1,blur1,0.25,65536,0.2802734375
05_artifacts\data\sample_images\dog_0031.jpg,1,resize0.75,0.25,65536,0.2476348876953125
