payload_bytes,packet_bytes,block_size,bits_per_token,overhead,image_copies,attack,binning,source_symbols,encoded_symbols,used_token_slots,raw_capacity_bits,recovered_symbols,exact_symbols,crc_valid_symbols,crc_rejected_symbols,token_match_rate,value_match_rate,exact_recovery,failure,capacity_exhausted
64,76,4,1,0.5,2,clean,projection,19,29,512,512,16,16,16,0,1.0,1.0,False,decoder stopped with 3 missing source blocks,True
64,76,4,1,0.5,2,jpeg85,projection,19,29,512,512,16,16,16,0,1.0,1.0,False,decoder stopped with 3 missing source blocks,True
64,76,4,1,0.5,2,resize075,projection,19,29,512,512,16,16,16,0,0.957031,1.0,False,decoder stopped with 3 missing source blocks,True
64,76,4,1,0.5,2,blur1,projection,19,29,512,512,16,16,16,0,0.886719,1.0,False,decoder stopped with 3 missing source blocks,True
64,76,4,1,0.5,2,noise002,projection,19,29,512,512,16,16,16,0,1.0,1.0,False,decoder stopped with 3 missing source blocks,True
64,76,4,1,0.5,2,crop090,projection,19,29,512,512,16,0,0,16,0.083984,0.673828,False,no CRC-valid symbols available,True
64,76,4,1,0.5,4,clean,projection,19,29,928,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,1,0.5,4,jpeg85,projection,19,29,928,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,1,0.5,4,resize075,projection,19,29,928,928,29,29,29,0,0.960938,1.0,True,,False
64,76,4,1,0.5,4,blur1,projection,19,29,928,928,29,29,29,0,0.885742,1.0,True,,False
64,76,4,1,0.5,4,noise002,projection,19,29,928,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,1,0.5,4,crop090,projection,19,29,928,928,29,0,0,29,0.083984,0.674569,False,no CRC-valid symbols available,False
64,76,4,1,0.5,8,clean,projection,19,29,928,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,1,0.5,8,jpeg85,projection,19,29,928,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,1,0.5,8,resize075,projection,19,29,928,928,29,29,29,0,0.952637,1.0,True,,False
64,76,4,1,0.5,8,blur1,projection,19,29,928,928,29,29,29,0,0.876465,1.0,True,,False
64,76,4,1,0.5,8,noise002,projection,19,29,928,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,1,0.5,8,crop090,projection,19,29,928,928,29,0,0,29,0.083984,0.674569,False,no CRC-valid symbols available,False
64,76,4,1,0.5,12,clean,projection,19,29,928,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,1,0.5,12,jpeg85,projection,19,29,928,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,1,0.5,12,resize075,projection,19,29,928,928,29,29,29,0,0.956706,1.0,True,,False
64,76,4,1,0.5,12,blur1,projection,19,29,928,928,29,29,29,0,0.879557,1.0,True,,False
64,76,4,1,0.5,12,noise002,projection,19,29,928,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,1,0.5,12,crop090,projection,19,29,928,928,29,0,0,29,0.081055,0.674569,False,no CRC-valid symbols available,False
64,76,4,1,0.5,16,clean,projection,19,29,928,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,1,0.5,16,jpeg85,projection,19,29,928,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,1,0.5,16,resize075,projection,19,29,928,928,29,29,29,0,0.956299,1.0,True,,False
64,76,4,1,0.5,16,blur1,projection,19,29,928,928,29,29,29,0,0.880127,1.0,True,,False
64,76,4,1,0.5,16,noise002,projection,19,29,928,928,29,29,29,0,1.0,1.0,True,,False
64,76,4,1,0.5,16,crop090,projection,19,29,928,928,29,0,0,29,0.080322,0.674569,False,no CRC-valid symbols available,False
64,76,4,1,0.8,2,clean,projection,19,35,512,512,16,16,16,0,1.0,1.0,False,decoder stopped with 3 missing source blocks,True
64,76,4,1,0.8,2,jpeg85,projection,19,35,512,512,16,16,16,0,1.0,1.0,False,decoder stopped with 3 missing source blocks,True
64,76,4,1,0.8,2,resize075,projection,19,35,512,512,16,16,16,0,0.957031,1.0,False,decoder stopped with 3 missing source blocks,True
64,76,4,1,0.8,2,blur1,projection,19,35,512,512,16,16,16,0,0.886719,1.0,False,decoder stopped with 3 missing source blocks,True
