payload_bytes,packet_bytes,block_size,bits_per_token,overhead,image_copies,attack,binning,position_mode,margin,geometry_search,anchor_count,anchor_scope,token_block_size,block_anchor_threshold,source_symbols,encoded_symbols,used_token_slots,raw_capacity_bits,recovered_symbols,exact_symbols,crc_valid_symbols,crc_rejected_symbols,anchor_matches,anchor_total,anchor_match_rate,accepted_blocks,total_blocks,block_acceptance_rate,erased_token_slots,token_match_rate,value_match_rate,exact_recovery,failure,capacity_exhausted,selected_crop_ratio
32,44,1,1,4.0,16,crop090,projection,center,2,anchors,3,block,4,0.67,44,220,1760,1760,220,29,29,191,365,432,0.844907,84,144,0.583333,715,0.079834,0.705682,False,decoder stopped with 15 missing source blocks,False,0.88
32,44,1,1,4.0,24,crop090,projection,center,2,anchors,3,block,4,0.67,44,220,1760,1760,220,29,29,191,545,648,0.841049,125,216,0.578704,715,0.081543,0.705682,False,decoder stopped with 15 missing source blocks,False,0.88
32,44,1,1,4.0,32,crop090,projection,center,2,anchors,3,block,4,0.67,44,220,1760,1760,220,29,29,191,719,864,0.832176,164,288,0.569444,715,0.081909,0.705682,False,decoder stopped with 15 missing source blocks,False,0.88
64,76,1,1,4.0,16,crop090,projection,center,2,anchors,3,block,4,0.67,76,380,1872,1872,234,37,37,197,370,432,0.856481,92,144,0.638889,676,0.08374,0.719017,False,decoder stopped with 39 missing source blocks,True,0.88
64,76,1,1,4.0,24,crop090,projection,center,2,anchors,3,block,4,0.67,76,380,2808,2808,351,51,51,300,554,648,0.854938,136,216,0.62963,1040,0.083659,0.716168,False,decoder stopped with 25 missing source blocks,True,0.88
64,76,1,1,4.0,32,crop090,projection,center,2,anchors,3,block,4,0.67,76,380,3040,3040,380,54,54,326,725,864,0.83912,172,288,0.597222,1181,0.083618,0.710197,False,decoder stopped with 22 missing source blocks,False,0.88
