attack,recovered_symbols,exact_symbols,crc_valid_symbols,crc_rejected_symbols,dropped_images,erased_symbols,token_match_rate,value_match_rate,exact_recovery,failure,model_dir,payload_bytes,packet_bytes,bits_per_token,block_size,overhead,latent_side,macro_cell_size,macro_cells_per_image,source_symbols,encoded_symbols,image_count,calibration_count,calibration_threshold,stable_pool_0,stable_pool_1,sample_image
clean,30,30,30,0,0,0,0.00013,1.0,True,,05_artifacts\models\vqgan_f4_8192_diffusers_converted,8,20,1,2,2.0,16,4,16,10,30,30,256,0.9,44,26,05_artifacts\results\raw\vq_fountain_real_vqgan_payload_sample_payload8.png
crop090+jpeg85+drop25,20,20,20,0,10,10,0.001172,1.0,True,,05_artifacts\models\vqgan_f4_8192_diffusers_converted,8,20,1,2,2.0,16,4,16,10,30,30,256,0.9,44,26,05_artifacts\results\raw\vq_fountain_real_vqgan_payload_sample_payload8.png
