attack,recovered_symbols,exact_symbols,crc_valid_symbols,crc_rejected_symbols,dropped_images,erased_symbols,token_match_rate,value_match_rate,exact_recovery,failure,model_dir,model_subfolder,payload_bytes,packet_bytes,bits_per_token,block_size,overhead,latent_side,macro_cell_size,macro_cells_per_image,symbols_per_image,source_symbols,encoded_symbols,image_count,calibration_count,calibration_threshold,calibration_seed,payload_seed,stable_pool_0,stable_pool_1,sample_image
clean,112,111,111,1,0,0,0.0,0.998884,True,,CompVis/ldm-celebahq-256,vqvae,16,28,1,1,3.0,16,2,64,8,28,112,14,256,0.9,compvis-vqvae-calibration-v1,compvis-vqvae-test-a,50,23,05_artifacts\results\raw\vq_fountain_real_vqgan_payload_sample_compvis_payload16.png
crop090+jpeg85+drop25,104,37,37,67,1,8,0.0003,0.879808,True,,CompVis/ldm-celebahq-256,vqvae,16,28,1,1,3.0,16,2,64,8,28,112,14,256,0.9,compvis-vqvae-calibration-v1,compvis-vqvae-test-a,50,23,05_artifacts\results\raw\vq_fountain_real_vqgan_payload_sample_compvis_payload16.png
