attack,recovered_symbols,exact_symbols,crc_valid_symbols,crc_rejected_symbols,dropped_images,erased_symbols,token_match_rate,value_match_rate,exact_recovery,failure,model_dir,payload_bytes,packet_bytes,bits_per_token,block_size,overhead,latent_side,macro_cell_size,macro_cells_per_image,source_symbols,encoded_symbols,image_count,calibration_count,calibration_threshold,stable_pool_0,stable_pool_1,sample_image
clean,18,18,18,0,0,0,0.000217,1.0,True,,05_artifacts\models\vqgan_f4_8192_diffusers_converted,32,44,1,8,2.0,16,2,64,6,18,18,256,0.9,44,26,05_artifacts\results\raw\vq_fountain_real_vqgan_payload_sample_payload32_mcell2.png
crop090+jpeg85+drop25,13,0,0,13,5,5,0.000901,0.918269,False,no CRC-valid symbols available,05_artifacts\models\vqgan_f4_8192_diffusers_converted,32,44,1,8,2.0,16,2,64,6,18,18,256,0.9,44,26,05_artifacts\results\raw\vq_fountain_real_vqgan_payload_sample_payload32_mcell2.png
