image,trial,payload_bpp,useful_bits,useful_ber,full_ber,psnr_db,global_ssim
05_artifacts\data\sample_images\000000001503.jpg,0,0.25,65536,0.008331298828125,0.3699169158935547,41.377628873722976,0.999429161650506
05_artifacts\data\sample_images\000000001503.jpg,1,0.25,65536,0.0092620849609375,0.37017250061035156,41.37451367077269,0.999428782281171
05_artifacts\data\sample_images\000000001503.jpg,2,0.25,65536,0.009307861328125,0.3700389862060547,41.3720447813036,0.9994282120688107
05_artifacts\data\sample_images\000000001503.jpg,3,0.25,65536,0.0093231201171875,0.36989784240722656,41.372029639073304,0.9994281244695541
05_artifacts\data\sample_images\000000001503.jpg,4,0.25,65536,0.009490966796875,0.37015724182128906,41.367786071963664,0.9994273529604344
05_artifacts\data\sample_images\dog_0031.jpg,0,0.25,65536,0.016571044921875,0.33234596252441406,43.768892656056295,0.9996807794908112
05_artifacts\data\sample_images\dog_0031.jpg,1,0.25,65536,0.0149993896484375,0.33205604553222656,43.78057327593272,0.99968184710627
05_artifacts\data\sample_images\dog_0031.jpg,2,0.25,65536,0.01513671875,0.33239173889160156,43.77951876589417,0.99968189565858
05_artifacts\data\sample_images\dog_0031.jpg,3,0.25,65536,0.0158233642578125,0.33254241943359375,43.77757873081513,0.9996815445877946
05_artifacts\data\sample_images\dog_0031.jpg,4,0.25,65536,0.01470947265625,0.3321189880371094,43.78489132536306,0.999682372162285
