payload_bytes,packet_bytes,block_size,bits_per_token,overhead,image_copies,attack,binning,position_mode,margin,source_symbols,encoded_symbols,used_token_slots,raw_capacity_bits,recovered_symbols,exact_symbols,crc_valid_symbols,crc_rejected_symbols,token_match_rate,value_match_rate,exact_recovery,failure,capacity_exhausted
64,76,4,1,0.8,12,jpeg85,projection,center,2,19,35,1120,1120,35,35,35,0,1.0,1.0,True,,False
64,76,4,1,0.8,12,resize075,projection,center,2,19,35,1120,1120,35,35,35,0,0.961914,1.0,True,,False
64,76,4,1,0.8,12,blur1,projection,center,2,19,35,1120,1120,35,35,35,0,0.883138,1.0,True,,False
64,76,4,1,0.8,12,noise002,projection,center,2,19,35,1120,1120,35,35,35,0,1.0,1.0,True,,False
64,76,4,1,0.8,12,crop090,projection,center,2,19,35,1120,1120,35,0,0,35,0.080078,0.7875,False,no CRC-valid symbols available,False
64,76,4,1,0.8,16,clean,projection,center,2,19,35,1120,1120,35,35,35,0,1.0,1.0,True,,False
64,76,4,1,0.8,16,jpeg85,projection,center,2,19,35,1120,1120,35,35,35,0,1.0,1.0,True,,False
64,76,4,1,0.8,16,resize075,projection,center,2,19,35,1120,1120,35,35,35,0,0.960205,1.0,True,,False
64,76,4,1,0.8,16,blur1,projection,center,2,19,35,1120,1120,35,35,35,0,0.882812,1.0,True,,False
64,76,4,1,0.8,16,noise002,projection,center,2,19,35,1120,1120,35,35,35,0,1.0,1.0,True,,False
64,76,4,1,0.8,16,crop090,projection,center,2,19,35,1120,1120,35,0,0,35,0.07959,0.7875,False,no CRC-valid symbols available,False
64,76,4,1,0.8,24,clean,projection,center,2,19,35,1120,1120,35,35,35,0,1.0,1.0,True,,False
64,76,4,1,0.8,24,jpeg85,projection,center,2,19,35,1120,1120,35,35,35,0,1.0,1.0,True,,False
64,76,4,1,0.8,24,resize075,projection,center,2,19,35,1120,1120,35,35,35,0,0.958008,1.0,True,,False
64,76,4,1,0.8,24,blur1,projection,center,2,19,35,1120,1120,35,35,35,0,0.877604,1.0,True,,False
