attack,recovered_symbols,exact_symbols,crc_valid_symbols,crc_rejected_symbols,dropped_images,erased_symbols,token_match_rate,value_match_rate,exact_recovery,failure,model_dir,model_subfolder,payload_bytes,packet_bytes,bits_per_token,block_size,overhead,latent_side,macro_cell_size,macro_cells_per_image,symbols_per_image,source_symbols,encoded_symbols,image_count,calibration_count,calibration_threshold,calibration_seed,payload_seed,stable_pool_0,stable_pool_1,sample_image
clean,14,14,14,0,0,0,0.0,1.0,True,,CompVis/ldm-celebahq-256,vqvae,2,14,1,2,1.0,16,4,16,1,7,14,14,64,0.9,real-vqgan-payload:calibration,real-vqgan-payload,8,5,05_artifacts\results\raw\vq_fountain_real_vqgan_payload_sample_compvis_smoke.png
jpeg85,14,14,14,0,0,0,0.000279,1.0,True,,CompVis/ldm-celebahq-256,vqvae,2,14,1,2,1.0,16,4,16,1,7,14,14,64,0.9,real-vqgan-payload:calibration,real-vqgan-payload,8,5,05_artifacts\results\raw\vq_fountain_real_vqgan_payload_sample_compvis_smoke.png
