image,image_index,trial,attack,payload_bpp_requested,nominal_bpp_used,ecc_bytes,payload_bytes,effective_user_bpp,raw_bit_ber,exact_recovery,decode_error,mean_abs_logit,p01_abs_logit,p05_abs_logit,psnr_db,global_ssim
05_artifacts\data\sample_images\dog_0031.jpg,1,0,resize0.75,0.25,0.25,64,6080,0.185546875,0.2006683349609375,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,3.9951491355895996,0.06845381110906601,0.33932381868362427,38.81230689467129,0.9988054596584142
05_artifacts\data\sample_images\dog_0031.jpg,1,0,clean,0.25,0.25,96,5056,0.154296875,0.00054931640625,True,,9.379968643188477,2.7382571697235107,4.497945785522461,38.80848325174896,0.9988042786469925
05_artifacts\data\sample_images\dog_0031.jpg,1,0,jpeg95,0.25,0.25,96,5056,0.154296875,0.4525146484375,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,2.532726764678955,0.048859842121601105,0.24749906361103058,38.80848325174896,0.9988042786469925
05_artifacts\data\sample_images\dog_0031.jpg,1,0,blur1,0.25,0.25,96,5056,0.154296875,0.3674468994140625,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,2.5488953590393066,0.043145328760147095,0.22011485695838928,38.80848325174896,0.9988042786469925
05_artifacts\data\sample_images\dog_0031.jpg,1,0,resize0.75,0.25,0.25,96,5056,0.154296875,0.201019287109375,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,4.004601955413818,0.07040117681026459,0.3418706953525543,38.80848325174896,0.9988042786469925
05_artifacts\data\sample_images\dog_0031.jpg,1,0,clean,0.25,0.25,128,4032,0.123046875,0.00018310546875,True,,9.399291038513184,2.8216331005096436,4.531915187835693,38.802805985974054,0.998802583657837
05_artifacts\data\sample_images\dog_0031.jpg,1,0,jpeg95,0.25,0.25,128,4032,0.123046875,0.4543609619140625,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,2.5434818267822266,0.04941059276461601,0.2559009790420532,38.802805985974054,0.998802583657837
05_artifacts\data\sample_images\dog_0031.jpg,1,0,blur1,0.25,0.25,128,4032,0.123046875,0.3716278076171875,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,2.5475268363952637,0.047554876655340195,0.2242240011692047,38.802805985974054,0.998802583657837
05_artifacts\data\sample_images\dog_0031.jpg,1,0,resize0.75,0.25,0.25,128,4032,0.123046875,0.2029571533203125,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,3.986937999725342,0.06828931719064713,0.34003037214279175,38.802805985974054,0.998802583657837
05_artifacts\data\sample_images\dog_0031.jpg,1,0,clean,0.25,0.25,160,3008,0.091796875,0.000244140625,True,,9.364706993103027,2.708056688308716,4.461822032928467,38.81610028234199,0.9988063957050967
05_artifacts\data\sample_images\dog_0031.jpg,1,0,jpeg95,0.25,0.25,160,3008,0.091796875,0.453765869140625,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,2.532219886779785,0.051079634577035904,0.25570905208587646,38.81610028234199,0.9988063957050967
05_artifacts\data\sample_images\dog_0031.jpg,1,0,blur1,0.25,0.25,160,3008,0.091796875,0.3667755126953125,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,2.549065113067627,0.04451364651322365,0.22295671701431274,38.81610028234199,0.9988063957050967
05_artifacts\data\sample_images\dog_0031.jpg,1,0,resize0.75,0.25,0.25,160,3008,0.091796875,0.2022552490234375,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,3.9901366233825684,0.06767655909061432,0.3390774428844452,38.81610028234199,0.9988063957050967
