payload_bytes,packet_bytes,block_size,bits_per_token,overhead,image_copies,attack,binning,position_mode,margin,geometry_search,crop_offsets,anchor_count,anchor_scope,token_block_size,block_anchor_threshold,source_symbols,encoded_symbols,used_token_slots,raw_capacity_bits,recovered_symbols,exact_symbols,crc_valid_symbols,crc_rejected_symbols,anchor_matches,anchor_total,anchor_match_rate,accepted_blocks,total_blocks,block_acceptance_rate,erased_token_slots,token_match_rate,value_match_rate,exact_recovery,failure,capacity_exhausted,selected_crop_ratio,selected_row_offset,selected_col_offset
32,44,1,1,4.0,16,crop090,projection,center,2,anchors2d,-0.02 0.0 0.02,1,block,4,0.0,44,220,1760,1760,220,66,66,154,118,144,0.819444,144,144,1.0,0,0.082275,0.844318,True,,False,0.9,0.0,0.0
32,44,1,1,4.0,24,crop090,projection,center,2,anchors2d,-0.02 0.0 0.02,1,block,4,0.0,44,220,1760,1760,220,66,66,154,180,216,0.833333,216,216,1.0,0,0.081706,0.844318,True,,False,0.9,0.0,0.0
64,76,1,1,4.0,16,crop090,projection,center,2,anchors2d,-0.02 0.0 0.02,1,block,4,0.0,76,380,2160,2160,270,77,77,193,123,144,0.854167,144,144,1.0,0,0.077881,0.831481,True,,True,0.9,0.0,0.0
64,76,1,1,4.0,24,crop090,projection,center,2,anchors2d,-0.02 0.0 0.02,1,block,4,0.0,76,380,3040,3040,380,105,105,275,183,216,0.847222,216,216,1.0,0,0.077637,0.828289,True,,False,0.9,0.0,0.0
