"query","title","year","venue","doi","citations","influential_citations","url","open_access_pdf"
"coverless image steganography image synthesis GAN","A Universal Framework for Improving the Robustness of Coverless Image Steganography Based on Image Restoration","2025","IEEE transactions on circuits and systems for video technology (Print)","10.1109/TCSVT.2024.3454457","12","0","https://www.semanticscholar.org/paper/4a2e0f9cf41010e994f77ffd6b9041ab36a73a93",""
"deep learning image steganography high capacity robust extraction","A Universal Framework for Improving the Robustness of Coverless Image Steganography Based on Image Restoration","2025","IEEE transactions on circuits and systems for video technology (Print)","10.1109/TCSVT.2024.3454457","12","0","https://www.semanticscholar.org/paper/4a2e0f9cf41010e994f77ffd6b9041ab36a73a93",""
"coverless image steganography generative adversarial network high capacity","AGASI: A Generative Adversarial Network-Based Approach to Strengthening Adversarial Image Steganography","2025","Entropy","10.3390/e27030282","11","0","https://www.semanticscholar.org/paper/35f10be570228fe3690d2ff0b8223a49087e6ab2","https://doi.org/10.3390/e27030282"
"coverless image steganography generative adversarial network high capacity","High-accuracy image steganography with invertible neural network and generative adversarial network","2025","Signal Processing","10.1016/j.sigpro.2025.109988","11","1","https://www.semanticscholar.org/paper/48ab13db93cd28e64b8ac69931ab8eae43313d50",""
"deep learning image steganography high capacity robust extraction","Highly Robust and Diverse Coverless Image Steganography Against Passive and Active Steganalysis","2025","IEEE Transactions on Dependable and Secure Computing","10.1109/TDSC.2024.3521424","10","1","https://www.semanticscholar.org/paper/baf2501c86b98296e651ad56b33bee24b15ba7ab",""
"neural image steganography high capacity robustness steganalysis","Highly Robust and Diverse Coverless Image Steganography Against Passive and Active Steganalysis","2025","IEEE Transactions on Dependable and Secure Computing","10.1109/TDSC.2024.3521424","10","1","https://www.semanticscholar.org/paper/baf2501c86b98296e651ad56b33bee24b15ba7ab",""
"coverless image steganography image synthesis GAN","Highly Robust and Diverse Coverless Image Steganography Against Passive and Active Steganalysis","2025","IEEE Transactions on Dependable and Secure Computing","10.1109/TDSC.2024.3521424","10","1","https://www.semanticscholar.org/paper/baf2501c86b98296e651ad56b33bee24b15ba7ab",""
"neural image steganography high capacity robustness steganalysis","Color Image High-Capacity Differential Steganography Algorithm Based on Multiple Adversarial Networks","2025","IEEE transactions on circuits and systems for video technology (Print)","10.1109/TCSVT.2024.3508849","9","0","https://www.semanticscholar.org/paper/fa58f46b7f545da5d640d7245a37d71be1e9751b",""
"coverless image steganography generative adversarial network high capacity","Color Image High-Capacity Differential Steganography Algorithm Based on Multiple Adversarial Networks","2025","IEEE transactions on circuits and systems for video technology (Print)","10.1109/TCSVT.2024.3508849","9","0","https://www.semanticscholar.org/paper/fa58f46b7f545da5d640d7245a37d71be1e9751b",""
"generative steganography without cover image extraction network","Robust Generative Steganography Based on Image Mapping","2024","IEEE transactions on circuits and systems for video technology (Print)","10.1109/TCSVT.2024.3451620","8","1","https://www.semanticscholar.org/paper/1c50ca3e96f01dd829b819606d7072bf28f10ec9",""
"image steganography steganalysis deep learning high payload","Robust Generative Steganography Based on Image Mapping","2024","IEEE transactions on circuits and systems for video technology (Print)","10.1109/TCSVT.2024.3451620","8","1","https://www.semanticscholar.org/paper/1c50ca3e96f01dd829b819606d7072bf28f10ec9",""
"coverless image steganography generative adversarial network high capacity","Deep learning semantic image synthesis: a novel method for unlimited capacity, high noise resistance coverless video steganography","2023","Multimedia tools and applications","10.1007/s11042-023-16278-w","7","0","https://www.semanticscholar.org/paper/8922bd92719b9c4fc89b013431f7625fc74152c4",""
"deep learning image steganography high capacity robust extraction","Deep learning semantic image synthesis: a novel method for unlimited capacity, high noise resistance coverless video steganography","2023","Multimedia tools and applications","10.1007/s11042-023-16278-w","7","0","https://www.semanticscholar.org/paper/8922bd92719b9c4fc89b013431f7625fc74152c4",""
"coverless image steganography image synthesis GAN","Deep learning semantic image synthesis: a novel method for unlimited capacity, high noise resistance coverless video steganography","2023","Multimedia tools and applications","10.1007/s11042-023-16278-w","7","0","https://www.semanticscholar.org/paper/8922bd92719b9c4fc89b013431f7625fc74152c4",""
"generative steganography without cover image extraction network","The Reincarnation of Grille Cipher: A Generative Approach","2018","",,"5","0","https://www.semanticscholar.org/paper/20981c6c8a9a8af91df0fda08169da7f99ae19ab",""
"image steganography steganalysis deep learning high payload","The Reincarnation of Grille Cipher: A Generative Approach","2018","",,"5","0","https://www.semanticscholar.org/paper/20981c6c8a9a8af91df0fda08169da7f99ae19ab",""
"generative steganography without cover image extraction network","RFNNS: Robust Fixed Neural Network Steganography with Popular Deep Generative Models","2025","arXiv.org","10.48550/arXiv.2505.04116","5","0","https://www.semanticscholar.org/paper/d00fd0af5facabd0a20dab1e001ca49c034af117",""
"image steganography steganalysis deep learning high payload","RFNNS: Robust Fixed Neural Network Steganography with Popular Deep Generative Models","2025","arXiv.org","10.48550/arXiv.2505.04116","5","0","https://www.semanticscholar.org/paper/d00fd0af5facabd0a20dab1e001ca49c034af117",""
"image steganography steganalysis deep learning high payload","Data hiding and extraction using pseudo-random generation and cover image replication","2025","International Journal of Data and Network Science","10.5267/j.ijdns.2024.10.005","3","0","https://www.semanticscholar.org/paper/440d53c3e0d9d60a528eccf98b3e58d7f6a2a38e","https://doi.org/10.5267/j.ijdns.2024.10.005"
"generative steganography without cover image extraction network","Data hiding and extraction using pseudo-random generation and cover image replication","2025","International Journal of Data and Network Science","10.5267/j.ijdns.2024.10.005","3","0","https://www.semanticscholar.org/paper/440d53c3e0d9d60a528eccf98b3e58d7f6a2a38e","https://doi.org/10.5267/j.ijdns.2024.10.005"
"neural image steganography high capacity robustness steganalysis","High Capacity Adaptive Block-Based Color Image Steganography and Human Perception-Guided Steganalysis","2024","Heliyon","10.1016/j.heliyon.2024.e40511","2","0","https://www.semanticscholar.org/paper/2b051b1cabfc5bbf3606fcd8737b0ad1d938d7c8","https://doi.org/10.1016/j.heliyon.2024.e40511"
"coverless image steganography image synthesis GAN","Review of Coverless Image Steganography","2024","2024 4th International Conference on Electronic Information Engineering and Computer (EIECT)","10.1109/EIECT64462.2024.10866313","2","1","https://www.semanticscholar.org/paper/a83db668b5faafea36d45c0474b8bc1361cd17ef",""
"deep learning image steganography high capacity robust extraction","Review of Coverless Image Steganography","2024","2024 4th International Conference on Electronic Information Engineering and Computer (EIECT)","10.1109/EIECT64462.2024.10866313","2","1","https://www.semanticscholar.org/paper/a83db668b5faafea36d45c0474b8bc1361cd17ef",""
"neural image steganography high capacity robustness steganalysis","Robust and high capacity image steganography technique using spiral-walk inter-block DCT coefficient differencing","2024","Multimedia tools and applications","10.1007/s11042-024-19520-1","2","0","https://www.semanticscholar.org/paper/dc02d0deb869b06322e30bf166e13dd9a351562b",""
